article_id,infraction_desc,categorie_vehicule,amende_min,amende_max,points_retrait,classe_infraction,type_infraction,niveau_gravite,mots_cles,cluster
95,"L'administration prononce la suspension du permis de conduire, si la personne qui en est titulaire n'a pas acquitté le montant de l’amende prononcée à son encontre par décision judiciaire ayant acquis la force de la chose jugée ou par décision administrative et/ou n’a pas payé les dépens afférents à",tous,,,,,infraction,faible,général,1
38,du code de procédure civile.,tous,,,,,infraction,faible,général,3
96,"L'administration prononce la suspension du permis de conduire pour une durée qui ne peut dépasser trois mois pour la première fois et six mois en cas de récidive, à l'encontre de tout conducteur de véhicule qui assure le transport de marchandises ou le transport en commun de personnes, sans qu’il ne",poids_lourd,,,,,infraction,faible,"permis, poids_lourd",2
97,L'administration peut prononcer le retrait du permis de conduire : 1.,tous,,,,,infraction,faible,permis,2
14,ci-dessus.,tous,,,,,infraction,faible,général,1
98,"Quelle que soit sa durée, la suspension ou le retrait du permis de conduire prononcée par l'administration conformément aux dispositions des articles 95, 96 et 97 ci-dessus, cesse d'avoir effet après.",tous,,,,,infraction,faible,permis,2
99,Conformément aux dispositions de l’,tous,,,,,infraction,faible,général,2
29,"de la présente loi, l’autorité, auprès de laquelle est institué le fichier national du permis de conduire visé à l’",tous,,,,,infraction,faible,permis,2
120,"ci-dessous, procède, de plein droit, au retrait des points du capital affecté au permis de conduire, dans les cas visé au 1°"" alinéa de l’",tous,,,,,infraction,faible,permis,2
28,"ci-dessus, au vu des copies de décisions judiciaires ayant acquis la force de la chose jugée que lui transmet le ministère public ou de documents établissant le paiement de l’amende transactionnelle et forfaitaire, comme suit : DELITS     N° ! POINTS D'ORDRE] LE DELIT RETIRER   01 Homicide involonta",moto,,,,délit,délit,élevée,"vitesse, alcool, stationnement, feux, permis, autoroute, accident, ceinture, priorité, dépassement",1
100,Par dérogation aux dispositions de l’,tous,,,,,infraction,faible,général,2
99,"ci-dessus et en cas de pluralité des délits commis simultanément parmi lesquels un délit parmi ceux visés aux 1, 3, 5 de l’",tous,,,,délit,délit,élevée,général,2
99,"ci- dessus, le nombre de points à retirer du capital de points est, au plus, égal à 16 points.",tous,,,,délit,délit,élevée,général,1
102,"L’immobilisation du véhicule est l’ordre donné, à titre préventif, par l’agent verbalisateur au conducteur d’arrêter son véhicule sur le lieu de constatation de l'infraction ou à proximité de celui-ci, tout en se conformant aux règles relatives au stationnement.",tous,,,,,infraction,faible,stationnement,0
103,"Outre les cas prévus par la loi, l’immobilisation du véhicule doit être ordonnée dans les cas suivants : 1.",tous,,,,,infraction,faible,permis,2
147,"Toute mutation de véhicule, si la justice n’a pas décidé le contraire, ou tout recouvrement de la taxe spéciale annuelle sur les véhicules automobiles ou de la taxe à l’essieu ne peut avoir lieu que sur justification du paiement des amendes objet d’une décision exécutoire rendue à l'encontre du prop",tous,,,,délit,délit,élevée,permis,1
148,Sans préjudice de peines plus sévères et sous réserve des dispositions de l’,tous,,,,,infraction,faible,général,2
149,"ci-dessous, est punie d'une amende de deux mille (2.",tous,2000.0,4000.0,,,infraction,moyenne,permis,4
149,Dans les cas visés à l’,tous,,,,,infraction,faible,général,2
148,"ci-dessus, le véhicule est immobilisé sur place jusqu’à ce qu’un conducteur titulaire du permis de conduire de la même catégorie du véhicule, proposé par le contrevenant ou éventuellement par le propriétaire ou par le détenteur du véhicule, en assure la conduite.",tous,,,,,infraction,faible,permis,0
150,Hors les cas prévus à l’,tous,,,,,infraction,faible,général,2
361,"du code pénal et sans préjudice de peines plus sévères, est punie d'un emprisonnement de un (1) mois à six (6) mois et d'une amende de cinq mille (5.",tous,5000.0,20000.0,,,délit_pénal,élevée,permis,4
151,Est punie d’un emprisonnement de six (6) mois à trois (3) ans et d'une amende de deux mille (2.,tous,2000.0,5000.0,,,délit_pénal,moyenne,permis,4
152,Est punie d'une amende de deux mille (2.,tous,2000.0,8000.0,,,infraction,moyenne,permis,4
153,"Si le contrevenant était, au moment où il a commis l’une des infractions prévues à l’",tous,,,,,infraction,faible,général,3
152,"ci-dessus, déjà frappé d’une sanction de suspension du permis de conduire par une décision judiciaire ayant acquis la force de la chose jugée, la juridiction compétente doit transformer la suspension en annulation de ce permis, avec l'interdiction de se présenter à l'examen pour l'obtention d'un nou",tous,,,,,infraction,faible,permis,2
154,Toute personne qui conduit avec un faux permis de conduire un véhicule dont la conduite nécessite Pobtention d’un permis de conduire est punie d’un emprisonnement de six (6) mois à trois (3) ans et d’une amende de mille deux cents (1.,tous,1200.0,5000.0,,,délit_pénal,moyenne,permis,0
155,Est punie d’une amende de quatre mille (4.,tous,4000.0,10000.0,,délit,délit,élevée,permis,4
156,Est puni d'une amende de quinze mille (15.,poids_lourd,15000.0,30000.0,,,délit_pénal,élevée,général,4
157,"Tout constructeur, mandataire, importateur ou propriétaire de véhicule qui refuse ou néglige de soumettre son véhicule, ayant subi des modifications des caractéristiques techniques, à une nouvelle homologation, est puni d'une amende de cinq mille (5.",tous,5000.0,30000.0,,,délit_pénal,élevée,général,0
158,"Le fait de remettre en circulation un véhicule soumis à l’immatriculation gravement accidenté, sans rapport d'expertise et Sans homologation, est puni d'une amende : 1) de cinq mille (5.",poids_lourd,5000.0,30000.0,,,infraction,élevée,"poids_lourd, accident",0
